,10n1,10p1,10n2,10p2,20p1,20n1,20p2,20n2,50p1,50n1,50p2,min,max
0,323800.5,323833.66666666674,323742.08333333326,323833.66666666674,323833.66666666674,323809.08333333326,323833.66666666674,323762.5,323833.66666666674,323833.66666666674,323833.66666666674,"('10n2',)","('10p1', '10p2', '20p1', '20p2', '50p1', '50n1', '50p2')"
3600,323214.83333333326,323215.0,323193.08333333326,323261.33333333326,323237.66666666674,323217.16666666674,323315.0,323194.0,323316.5,323218.0,323320.0,"('10n2',)","('50p2',)"
7200,323207.5,323280.66666666674,323205.5,323364.91666666674,323314.08333333326,323212.75,323358.0,323205.75,323342.58333333326,323205.08333333326,323355.75,"('50n1',)","('10p2',)"
10800,323007.58333333326,322996.58333333326,322950.16666666674,322959.0,322981.83333333326,323004.08333333326,322940.66666666674,322968.16666666674,322948.91666666674,322990.08333333326,322940.0,"('50p2',)","('10n1',)"
14400,322082.08333333326,322069.83333333326,322095.66666666674,322073.91666666674,322101.5,322073.33333333326,322119.41666666674,322071.75,322125.58333333326,322096.0,322122.41666666674,"('10p1',)","('50p1',)"
18000,322358.91666666674,322387.83333333326,322362.58333333326,322561.5,322359.75,322333.08333333326,322529.33333333326,322354.83333333326,322380.16666666674,322321.5,322491.41666666674,"('50n1',)","('10p2',)"
21600,323895.91666666674,324002.83333333326,323903.91666666674,324037.66666666674,323979.08333333326,323899.25,324027.08333333326,323908.0,323850.66666666674,323897.0,323957.5,"('50p1',)","('10p2',)"
25200,324614.41666666674,324639.66666666674,324563.0,324596.83333333326,324666.58333333326,324630.08333333326,324601.41666666674,324581.91666666674,324607.08333333326,324563.0,324645.0,"('10n2', '50n1')","('20p1',)"
28800,323134.0,323071.58333333326,323059.91666666674,322989.83333333326,323068.41666666674,323147.58333333326,322987.75,323030.5,323131.41666666674,323184.25,323007.58333333326,"('20p2',)","('50n1',)"
32400,321929.25,321923.5,321860.58333333326,321983.58333333326,321957.58333333326,321923.16666666674,321928.16666666674,321864.33333333326,322083.0,321952.83333333326,322107.91666666674,"('10n2',)","('50p2',)"
36000,323123.16666666674,323173.58333333326,323138.16666666674,323294.41666666674,323148.16666666674,323081.41666666674,323318.25,323079.58333333326,323066.41666666674,323027.91666666674,323267.08333333326,"('50n1',)","('20p2',)"
39600,323433.91666666674,323459.0,323445.33333333326,323528.91666666674,323486.25,323435.33333333326,323570.58333333326,323457.33333333326,323411.66666666674,323438.75,323552.91666666674,"('50p1',)","('20p2',)"
43200,324341.33333333326,324326.83333333326,324362.91666666674,324387.91666666674,324302.08333333326,324335.91666666674,324351.75,324347.5,324317.41666666674,324340.66666666674,324324.33333333326,"('20p1',)","('10p2',)"
46800,324032.08333333326,324058.08333333326,323997.75,324013.0,324077.91666666674,324047.58333333326,324027.33333333326,323987.83333333326,324084.08333333326,324010.41666666674,324041.5,"('20n2',)","('50p1',)"
50400,324366.91666666674,324342.25,324361.33333333326,324361.83333333326,324356.08333333326,324363.0,324354.91666666674,324328.08333333326,324379.41666666674,324321.83333333326,324368.08333333326,"('50n1',)","('50p1',)"
54000,327204.16666666674,327253.5,327176.0,327310.41666666674,327219.58333333326,327157.75,327291.0,327162.33333333326,327165.5,327155.58333333326,327281.41666666674,"('50n1',)","('10p2',)"
57600,325695.33333333326,325715.41666666674,325699.33333333326,325690.66666666674,325723.0,325718.16666666674,325715.41666666674,325718.25,325800.33333333326,325778.75,325732.33333333326,"('10p2',)","('50p1',)"
61200,325622.66666666674,325631.0,325560.0,325609.83333333326,325624.33333333326,325601.25,325593.25,325574.08333333326,325622.33333333326,325545.58333333326,325574.0,"('50n1',)","('10p1',)"
64800,325916.83333333326,325893.58333333326,325890.16666666674,326078.25,325878.25,325936.0,325931.25,325872.16666666674,325888.16666666674,325943.41666666674,325879.33333333326,"('20n2',)","('10p2',)"
68400,327014.91666666674,327053.25,326920.0,326999.75,327073.25,327016.33333333326,327060.75,326922.25,327076.0,326902.0,327104.58333333326,"('50n1',)","('50p2',)"
72000,327620.16666666674,327618.75,327673.25,327658.5,327589.33333333326,327597.41666666674,327726.16666666674,327672.66666666674,327547.58333333326,327662.0,327713.58333333326,"('50p1',)","('20p2',)"
75600,327367.0,327336.5,327304.83333333326,327295.33333333326,327371.91666666674,327375.25,327281.33333333326,327295.58333333326,327395.08333333326,327370.16666666674,327282.83333333326,"('20p2',)","('50p1',)"
79200,328014.08333333326,328029.75,328050.0,328061.91666666674,328016.58333333326,328027.41666666674,328049.16666666674,328064.16666666674,328054.25,328065.66666666674,328035.16666666674,"('10n1',)","('50n1',)"
82800,326510.41666666674,326481.25,326522.08333333326,326334.41666666674,326476.0,326478.25,326345.16666666674,326523.5,326427.66666666674,326535.58333333326,326351.83333333326,"('10p2',)","('50n1',)"
86400,324176.41666666674,324168.16666666674,324199.41666666674,324271.91666666674,324187.33333333326,324138.83333333326,324257.08333333326,324211.0,324336.41666666674,324147.25,324298.41666666674,"('20n1',)","('50p1',)"
90000,323859.25,323870.41666666674,323853.5,323787.91666666674,323932.16666666674,323874.33333333326,323838.5,323873.91666666674,323859.08333333326,323874.75,323824.91666666674,"('10p2',)","('20p1',)"
93600,323189.75,323191.5,323216.5,323238.33333333326,323189.33333333326,323215.16666666674,323234.66666666674,323230.08333333326,323247.5,323236.41666666674,323210.5,"('20p1',)","('50p1',)"
97200,322441.0,322451.0,322407.16666666674,322409.25,322461.33333333326,322444.91666666674,322412.66666666674,322386.91666666674,322420.08333333326,322521.41666666674,322385.33333333326,"('50p2',)","('50n1',)"
100800,321769.41666666674,321759.41666666674,321792.41666666674,321776.66666666674,321810.83333333326,321780.33333333326,321776.08333333326,321812.91666666674,321789.5,321796.75,321774.0,"('10p1',)","('20n2',)"
104400,321694.91666666674,321721.83333333326,321661.0,321689.41666666674,321663.91666666674,321713.41666666674,321682.25,321674.25,321663.75,321703.08333333326,321685.66666666674,"('10n2',)","('10p1',)"
108000,323008.16666666674,323061.58333333326,323008.83333333326,323087.25,322998.75,322937.16666666674,323098.91666666674,322997.75,322882.91666666674,322931.16666666674,323130.16666666674,"('50p1',)","('50p2',)"
111600,323154.25,323187.75,323126.25,323140.41666666674,323229.75,323161.91666666674,323150.66666666674,323156.41666666674,323239.16666666674,323133.08333333326,323143.5,"('10n2',)","('50p1',)"
115200,323058.33333333326,323093.83333333326,323098.41666666674,323191.16666666674,323133.75,323080.33333333326,323215.91666666674,323089.0,323186.5,323093.08333333326,323203.08333333326,"('10n1',)","('20p2',)"
118800,323763.75,323729.83333333326,323772.16666666674,323830.75,323722.41666666674,323748.5,323832.41666666674,323777.75,323710.66666666674,323736.08333333326,323831.91666666674,"('50p1',)","('20p2',)"
122400,323952.33333333326,323991.58333333326,323947.08333333326,323994.5,323973.25,323945.66666666674,323977.08333333326,323951.58333333326,323933.16666666674,323931.25,323975.25,"('50n1',)","('10p2',)"
126000,324664.33333333326,324641.75,324690.58333333326,324727.66666666674,324629.5,324667.08333333326,324701.33333333326,324686.25,324630.41666666674,324664.0,324654.58333333326,"('20p1',)","('10p2',)"
129600,326502.83333333326,326533.0,326518.83333333326,326557.58333333326,326504.5,326508.83333333326,326620.0,326517.91666666674,326495.33333333326,326510.33333333326,326592.83333333326,"('50p1',)","('20p2',)"
133200,327066.83333333326,327144.25,327057.66666666674,327115.33333333326,327171.25,327042.33333333326,327125.75,327059.33333333326,327140.33333333326,327044.75,327133.16666666674,"('20n1',)","('20p1',)"
136800,327466.25,327529.0,327488.66666666674,327533.25,327481.33333333326,327452.83333333326,327507.83333333326,327491.33333333326,327471.08333333326,327447.66666666674,327409.33333333326,"('50p2',)","('10p2',)"
140400,328642.66666666674,328624.91666666674,328635.58333333326,328685.5,328614.66666666674,328621.16666666674,328675.33333333326,328624.5,328595.33333333326,328592.5,328667.33333333326,"('50n1',)","('10p2',)"
144000,327728.16666666674,327684.25,327656.33333333326,327632.58333333326,327696.16666666674,327742.83333333326,327668.08333333326,327661.16666666674,327776.58333333326,327764.33333333326,327702.91666666674,"('10p2',)","('50p1',)"
147600,327858.83333333326,327891.16666666674,327873.08333333326,327899.83333333326,327862.0,327848.75,327910.08333333326,327868.41666666674,327875.91666666674,327833.41666666674,327910.66666666674,"('50n1',)","('50p2',)"
151200,328274.16666666674,328305.66666666674,328298.5,328351.33333333326,328312.58333333326,328279.25,328297.08333333326,328294.75,328265.5,328275.83333333326,328278.25,"('50p1',)","('10p2',)"
154800,327983.25,328014.58333333326,327976.91666666674,327934.08333333326,328029.0,328017.83333333326,327953.41666666674,327952.16666666674,328050.58333333326,327977.33333333326,327972.33333333326,"('10p2',)","('50p1',)"
158400,328077.58333333326,328119.66666666674,328118.0,328165.83333333326,328115.41666666674,328058.66666666674,328195.16666666674,328121.66666666674,328141.0,328085.5,328189.66666666674,"('20n1',)","('20p2',)"
162000,327856.41666666674,327860.66666666674,327828.33333333326,327804.83333333326,327846.25,327896.25,327778.91666666674,327840.75,327834.25,327928.16666666674,327787.41666666674,"('20p2',)","('50n1',)"
165600,326634.41666666674,326538.25,326568.33333333326,326459.66666666674,326533.08333333326,326626.75,326448.08333333326,326574.33333333326,326524.41666666674,326627.58333333326,326452.08333333326,"('20p2',)","('10n1',)"
169200,325543.0,325540.41666666674,325536.41666666674,325477.08333333326,325540.5,325588.83333333326,325477.83333333326,325571.91666666674,325554.5,325625.41666666674,325484.41666666674,"('10p2',)","('50n1',)"
