,minimum,maximum,percentiles,delays,mean
0,323400,324526,"{0.1: 323400.0, 0.2: 323455.0, 0.3: 323465.0, 0.4: 323466.0, 0.5: 323529.0, 0.6: 324169.0, 0.7: 324241.0, 0.8: 324312.0, 0.9: 324512.0}",0,323833.6666666667
3600,322952,323619,"{0.1: 322985.0, 0.2: 322988.0, 0.3: 323060.0, 0.4: 323166.0, 0.5: 323418.5, 0.6: 323492.0, 0.7: 323576.0, 0.8: 323582.0, 0.9: 323583.0}",0,323320.0
7200,322617,323766,"{0.1: 323037.0, 0.2: 323045.0, 0.3: 323120.0, 0.4: 323308.0, 0.5: 323495.5, 0.6: 323516.0, 0.7: 323560.0, 0.8: 323593.0, 0.9: 323716.0}",0,323355.75
10800,322514,323572,"{0.1: 322640.0, 0.2: 322657.0, 0.3: 322661.0, 0.4: 322767.0, 0.5: 322827.5, 0.6: 322952.0, 0.7: 323027.0, 0.8: 323306.0, 0.9: 323529.0}",0,322940.0
14400,321920,322314,"{0.1: 321928.0, 0.2: 321948.0, 0.3: 322028.0, 0.4: 322089.0, 0.5: 322121.5, 0.6: 322203.0, 0.7: 322244.0, 0.8: 322252.0, 0.9: 322300.0}",0,322122.4166666667
18000,322071,322946,"{0.1: 322236.0, 0.2: 322292.0, 0.3: 322344.0, 0.4: 322383.0, 0.5: 322532.5, 0.6: 322639.0, 0.7: 322651.0, 0.8: 322892.0, 0.9: 322943.0}",277,322538.5
21600,323116,325183,"{0.1: 323140.0, 0.2: 323280.0, 0.3: 323348.0, 0.4: 323852.0, 0.5: 324285.0, 0.6: 324556.0, 0.7: 324633.0, 0.8: 324656.0, 0.9: 324728.0}",533,324088.5
25200,324185,325074,"{0.1: 324187.0, 0.2: 324191.0, 0.3: 324248.0, 0.4: 324295.0, 0.5: 324470.0, 0.6: 324717.0, 0.7: 324857.0, 0.8: 324921.0, 0.9: 324995.0}",0,324550.8333333333
28800,321933,324201,"{0.1: 321982.0, 0.2: 322160.0, 0.3: 322401.0, 0.4: 322613.0, 0.5: 322734.5, 0.6: 323019.0, 0.7: 323969.0, 0.8: 324013.0, 0.9: 324074.0}",0,322986.1666666667
32400,321538,323105,"{0.1: 321553.0, 0.2: 321569.0, 0.3: 321607.0, 0.4: 321673.0, 0.5: 321876.5, 0.6: 322312.0, 0.7: 322438.0, 0.8: 322703.0, 0.9: 322958.0}",0,322100.75
36000,322868,323589,"{0.1: 322926.0, 0.2: 323080.0, 0.3: 323121.0, 0.4: 323232.0, 0.5: 323329.0, 0.6: 323393.0, 0.7: 323412.0, 0.8: 323445.0, 0.9: 323458.0}",0,323265.1666666667
39600,323322,323783,"{0.1: 323324.0, 0.2: 323368.0, 0.3: 323407.0, 0.4: 323438.0, 0.5: 323533.5, 0.6: 323693.0, 0.7: 323694.0, 0.8: 323698.0, 0.9: 323728.0}",0,323543.5
43200,323860,325065,"{0.1: 324092.0, 0.2: 324117.0, 0.3: 324188.0, 0.4: 324334.0, 0.5: 324349.0, 0.6: 324404.0, 0.7: 324552.0, 0.8: 324876.0, 0.9: 325024.0}",0,324434.1666666667
46800,323812,324182,"{0.1: 323833.0, 0.2: 323839.0, 0.3: 323931.0, 0.4: 323944.0, 0.5: 323988.0, 0.6: 323996.0, 0.7: 324074.0, 0.8: 324142.0, 0.9: 324178.0}",0,323992.25
50400,323750,326591,"{0.1: 323823.0, 0.2: 323839.0, 0.3: 323872.0, 0.4: 323948.0, 0.5: 324077.5, 0.6: 324308.0, 0.7: 324431.0, 0.8: 324763.0, 0.9: 325087.0}",3061,324380.5833333333
54000,326777,327931,"{0.1: 326820.0, 0.2: 326961.0, 0.3: 327055.0, 0.4: 327218.0, 0.5: 327224.0, 0.6: 327254.0, 0.7: 327573.0, 0.8: 327596.0, 0.9: 327927.0}",187,327296.6666666667
57600,325412,326655,"{0.1: 325428.0, 0.2: 325472.0, 0.3: 325478.0, 0.4: 325496.0, 0.5: 325590.0, 0.6: 325782.0, 0.7: 325829.0, 0.8: 325946.0, 0.9: 325947.0}",0,325718.75
61200,325403,325773,"{0.1: 325457.0, 0.2: 325471.0, 0.3: 325488.0, 0.4: 325497.0, 0.5: 325566.0, 0.6: 325629.0, 0.7: 325634.0, 0.8: 325663.0, 0.9: 325691.0}",0,325569.8333333333
64800,324948,327373,"{0.1: 325319.0, 0.2: 325358.0, 0.3: 325381.0, 0.4: 325391.0, 0.5: 325770.5, 0.6: 326276.0, 0.7: 326549.0, 0.8: 326902.0, 0.9: 327117.0}",1178,326012.9166666667
68400,326716,327463,"{0.1: 326741.0, 0.2: 326767.0, 0.3: 326870.0, 0.4: 326875.0, 0.5: 327035.0, 0.6: 327196.0, 0.7: 327209.0, 0.8: 327240.0, 0.9: 327306.0}",0,327037.75
72000,327451,328146,"{0.1: 327455.0, 0.2: 327459.0, 0.3: 327470.0, 0.4: 327616.0, 0.5: 327692.5, 0.6: 327764.0, 0.7: 327860.0, 0.8: 327996.0, 0.9: 328027.0}",0,327719.0833333333
75600,327080,327611,"{0.1: 327109.0, 0.2: 327162.0, 0.3: 327183.0, 0.4: 327206.0, 0.5: 327225.5, 0.6: 327281.0, 0.7: 327318.0, 0.8: 327359.0, 0.9: 327473.0}",0,327269.4166666667
79200,326446,330474,"{0.1: 326737.0, 0.2: 326831.0, 0.3: 326856.0, 0.4: 327120.0, 0.5: 327323.5, 0.6: 327990.0, 0.7: 329330.0, 0.8: 330165.0, 0.9: 330225.0}",3296,328068.4166666667
82800,323908,329996,"{0.1: 323967.0, 0.2: 324110.0, 0.3: 324141.0, 0.4: 324152.0, 0.5: 325062.0, 0.6: 326838.0, 0.7: 328756.0, 0.8: 329674.0, 0.9: 329889.0}",0,326296.25
86400,323865,324657,"{0.1: 323901.0, 0.2: 323952.0, 0.3: 324065.0, 0.4: 324126.0, 0.5: 324294.0, 0.6: 324495.0, 0.7: 324527.0, 0.8: 324610.0, 0.9: 324627.0}",0,324284.4166666667
90000,323509,324225,"{0.1: 323535.0, 0.2: 323540.0, 0.3: 323696.0, 0.4: 323710.0, 0.5: 323867.0, 0.6: 323896.0, 0.7: 323900.0, 0.8: 323955.0, 0.9: 324106.0}",0,323817.1666666667
93600,322726,323746,"{0.1: 322882.0, 0.2: 322947.0, 0.3: 322977.0, 0.4: 323069.0, 0.5: 323203.0, 0.6: 323306.0, 0.7: 323360.0, 0.8: 323498.0, 0.9: 323523.0}",0,323203.3333333333
97200,321801,322962,"{0.1: 322090.0, 0.2: 322124.0, 0.3: 322254.0, 0.4: 322270.0, 0.5: 322299.5, 0.6: 322400.0, 0.7: 322502.0, 0.8: 322725.0, 0.9: 322834.0}",0,322380.0833333333
100800,321469,322300,"{0.1: 321533.0, 0.2: 321599.0, 0.3: 321611.0, 0.4: 321673.0, 0.5: 321812.0, 0.6: 321831.0, 0.7: 321847.0, 0.8: 321858.0, 0.9: 321870.0}",0,321767.9166666667
104400,321046,322669,"{0.1: 321157.0, 0.2: 321325.0, 0.3: 321414.0, 0.4: 321522.0, 0.5: 321571.0, 0.6: 321585.0, 0.7: 322041.0, 0.8: 322493.0, 0.9: 322577.0}",256,321747.5833333333
108000,322541,323831,"{0.1: 322554.0, 0.2: 322642.0, 0.3: 322684.0, 0.4: 322946.0, 0.5: 323007.5, 0.6: 323323.0, 0.7: 323401.0, 0.8: 323544.0, 0.9: 323752.0}",0,323102.75
111600,322709,323563,"{0.1: 322759.0, 0.2: 322825.0, 0.3: 322868.0, 0.4: 323029.0, 0.5: 323163.0, 0.6: 323280.0, 0.7: 323291.0, 0.8: 323366.0, 0.9: 323432.0}",0,323120.6666666667
115200,322543,323669,"{0.1: 322612.0, 0.2: 322779.0, 0.3: 322951.0, 0.4: 323081.0, 0.5: 323124.0, 0.6: 323360.0, 0.7: 323534.0, 0.8: 323654.0, 0.9: 323661.0}",0,323174.3333333333
118800,323599,324014,"{0.1: 323727.0, 0.2: 323735.0, 0.3: 323780.0, 0.4: 323809.0, 0.5: 323824.5, 0.6: 323846.0, 0.7: 323864.0, 0.8: 323866.0, 0.9: 323971.0}",0,323821.6666666667
122400,323743,324187,"{0.1: 323827.0, 0.2: 323848.0, 0.3: 323868.0, 0.4: 323905.0, 0.5: 323952.5, 0.6: 324052.0, 0.7: 324070.0, 0.8: 324158.0, 0.9: 324164.0}",0,323977.25
126000,324228,325724,"{0.1: 324235.0, 0.2: 324243.0, 0.3: 324293.0, 0.4: 324360.0, 0.5: 324701.5, 0.6: 325075.0, 0.7: 325246.0, 0.8: 325483.0, 0.9: 325551.0}",151,324820.0833333333
129600,325771,327189,"{0.1: 326266.0, 0.2: 326297.0, 0.3: 326309.0, 0.4: 326353.0, 0.5: 326609.5, 0.6: 326984.0, 0.7: 327050.0, 0.8: 327064.0, 0.9: 327070.0}",0,326631.0
133200,326981,327241,"{0.1: 326992.0, 0.2: 327021.0, 0.3: 327039.0, 0.4: 327047.0, 0.5: 327071.0, 0.6: 327119.0, 0.7: 327121.0, 0.8: 327133.0, 0.9: 327226.0}",0,327088.5
136800,326958,328587,"{0.1: 326970.0, 0.2: 327011.0, 0.3: 327023.0, 0.4: 327037.0, 0.5: 327181.0, 0.6: 327359.0, 0.7: 328101.0, 0.8: 328154.0, 0.9: 328438.0}",1662,327500.0
140400,327969,329235,"{0.1: 328403.0, 0.2: 328428.0, 0.3: 328623.0, 0.4: 328641.0, 0.5: 328697.0, 0.6: 328745.0, 0.7: 328799.0, 0.8: 328823.0, 0.9: 328869.0}",0,328660.75
144000,327528,327881,"{0.1: 327542.0, 0.2: 327574.0, 0.3: 327583.0, 0.4: 327589.0, 0.5: 327629.5, 0.6: 327694.0, 0.7: 327783.0, 0.8: 327843.0, 0.9: 327860.0}",0,327678.0
147600,327635,328179,"{0.1: 327659.0, 0.2: 327707.0, 0.3: 327736.0, 0.4: 327848.0, 0.5: 327911.0, 0.6: 328012.0, 0.7: 328054.0, 0.8: 328088.0, 0.9: 328099.0}",28,327903.25
151200,327851,328817,"{0.1: 327867.0, 0.2: 327874.0, 0.3: 327973.0, 0.4: 328080.0, 0.5: 328273.0, 0.6: 328519.0, 0.7: 328717.0, 0.8: 328788.0, 0.9: 328812.0}",195,328320.3333333333
154800,327575,328252,"{0.1: 327719.0, 0.2: 327835.0, 0.3: 327846.0, 0.4: 327881.0, 0.5: 327959.0, 0.6: 328001.0, 0.7: 328034.0, 0.8: 328082.0, 0.9: 328150.0}",0,327941.0833333333
158400,327865,328523,"{0.1: 327869.0, 0.2: 327974.0, 0.3: 328004.0, 0.4: 328063.0, 0.5: 328181.5, 0.6: 328323.0, 0.7: 328381.0, 0.8: 328388.0, 0.9: 328501.0}",10,328187.8333333333
162000,327325,328723,"{0.1: 327399.0, 0.2: 327508.0, 0.3: 327530.0, 0.4: 327535.0, 0.5: 327609.0, 0.6: 327617.0, 0.7: 327877.0, 0.8: 328174.0, 0.9: 328306.0}",0,327767.6666666667
165600,325732,327333,"{0.1: 325943.0, 0.2: 326120.0, 0.3: 326223.0, 0.4: 326292.0, 0.5: 326360.5, 0.6: 326510.0, 0.7: 326677.0, 0.8: 326826.0, 0.9: 326844.0}",0,326435.0833333333
169200,324589,326157,"{0.1: 324605.0, 0.2: 324930.0, 0.3: 325052.0, 0.4: 325156.0, 0.5: 325623.0, 0.6: 325887.0, 0.7: 325890.0, 0.8: 326023.0, 0.9: 326048.0}",0,325465.25
